,season,teamName,week,team,opponent,result,owner,opponent_owner
772,2021,Krispy Cream Abdul Jabbar,5,1,Hemorrhoids On the Ass,143.73 - 188.93 Loss,Owen,zeyad
773,2021,Krispy Cream Abdul Jabbar,6,1,The Salty Quackers,166.17 - 148.40 Win,Owen,Ryan
774,2021,Krispy Cream Abdul Jabbar,7,1,The Poop Store,117.33 - 153.00 Loss,Owen,Jake
775,2021,Krispy Cream Abdul Jabbar,8,1,Certified Baby Lover,138.43 - 152.57 Loss,Owen,Kevin
776,2021,Krispy Cream Abdul Jabbar,9,1,Peter is a nonce,115.17 - 137.70 Loss,Owen,nickolai
777,2021,Krispy Cream Abdul Jabbar,10,1,Chub Chub,177.87 - 145.00 Win,Owen,John
778,2021,Krispy Cream Abdul Jabbar,11,1,Balls Galore Whorioles,114.66 - 120.93 Loss,Owen,Peter
779,2021,Krispy Cream Abdul Jabbar,12,1,Hemorrhoids On the Ass,142.34 - 176.43 Loss,Owen,zeyad
780,2021,Krispy Cream Abdul Jabbar,13,1,The Salty Quackers,126.87 - 221.43 Loss,Owen,Ryan
781,2021,Krispy Cream Abdul Jabbar,14,1,The Poop Store,127.40 - 152.93 Loss,Owen,Jake
782,2021,Krispy Cream Abdul Jabbar,15,1,Certified Baby Lover,106.80 - 69.80 Win,Owen,Kevin
783,2021,Krispy Cream Abdul Jabbar,16,1,Chub Chub,164.80 - 86.67 Win,Owen,John
784,2021,Krispy Cream Abdul Jabbar,17,1,Peter is a nonce,126.84 - 158.90 Loss,Owen,nickolai
785,2021,Certified Baby Lover,1,2,Krispy Cream Abdul Jabbar,156.63 - 207.67 Loss,Kevin,Owen
786,2021,Certified Baby Lover,2,2,Chub Chub,215.47 - 140.60 Win,Kevin,John
787,2021,Certified Baby Lover,3,2,Hemorrhoids On the Ass,171.47 - 173.57 Loss,Kevin,zeyad
788,2021,Certified Baby Lover,4,2,The Poop Store,164.43 - 196.64 Loss,Kevin,Jake
789,2021,Certified Baby Lover,5,2,Peter is a nonce,154.13 - 244.03 Loss,Kevin,nickolai
790,2021,Certified Baby Lover,6,2,Balls Galore Whorioles,137.70 - 132.63 Win,Kevin,Peter
791,2021,Certified Baby Lover,7,2,The Salty Quackers,152.66 - 199.54 Loss,Kevin,Ryan
792,2021,Certified Baby Lover,8,2,Krispy Cream Abdul Jabbar,152.57 - 138.43 Win,Kevin,Owen
793,2021,Certified Baby Lover,9,2,Chub Chub,140.53 - 83.40 Win,Kevin,John
794,2021,Certified Baby Lover,10,2,Hemorrhoids On the Ass,104.70 - 156.87 Loss,Kevin,zeyad
795,2021,Certified Baby Lover,11,2,The Poop Store,116.60 - 178.27 Loss,Kevin,Jake
796,2021,Certified Baby Lover,12,2,Peter is a nonce,112.17 - 150.73 Loss,Kevin,nickolai
797,2021,Certified Baby Lover,13,2,Balls Galore Whorioles,147.00 - 157.93 Loss,Kevin,Peter
798,2021,Certified Baby Lover,14,2,The Salty Quackers,190.03 - 208.00 Loss,Kevin,Ryan
799,2021,Certified Baby Lover,15,2,Krispy Cream Abdul Jabbar,69.80 - 106.80 Loss,Kevin,Owen
800,2021,Certified Baby Lover,16,2,Peter is a nonce,117.97 - 138.43 Loss,Kevin,nickolai
801,2021,Certified Baby Lover,17,2,Chub Chub,217.30 - 130.30 Win,Kevin,John
802,2021,Peter is a nonce,1,3,The Poop Store,144.77 - 222.07 Loss,nickolai,Jake
803,2021,Peter is a nonce,2,3,Krispy Cream Abdul Jabbar,135.73 - 159.27 Loss,nickolai,Owen
